fbgn	gene	pathway	role	GeneID
FBgn0000658	fj	HIPPO signaling pathway	other	37089
FBgn0261456	hpo	HIPPO signaling pathway	other	37247
FBgn0262127	kibra	HIPPO signaling pathway	other	41783
FBgn0038965	mats	HIPPO signaling pathway	other	42634
FBgn0086384	Mer	HIPPO signaling pathway	other	32979
FBgn0053193	sav	HIPPO signaling pathway	other	252554
FBgn0011739	wts	HIPPO signaling pathway	other	43651
FBgn0001075	ft	HIPPO signaling pathway	receptor	33627
FBgn0003345	sd	HIPPO signaling pathway	TF	32536
FBgn0003866	tsh	HIPPO signaling pathway	TF	35430
FBgn0034970	yki	HIPPO signaling pathway	TF	37851
FBgn0044051	Ilp1	INSULIN signaling pathway	ligand	39149
FBgn0036046	Ilp2	INSULIN signaling pathway	ligand	39150
FBgn0044050	Ilp3	INSULIN signaling pathway	ligand	39151
FBgn0044049	Ilp4	INSULIN signaling pathway	ligand	39152
FBgn0044048	Ilp5	INSULIN signaling pathway	ligand	2768992
FBgn0044047	Ilp6	INSULIN signaling pathway	ligand	31220
FBgn0044046	Ilp7	INSULIN signaling pathway	ligand	31328
FBgn0036690	Ilp8	INSULIN signaling pathway	ligand	39909
FBgn0010379	Akt1	INSULIN signaling pathway	other	41957
